Clinical Information,Bibliographic Information,,,,,,Recording Information,,,Analysis Information,,Dataset Information,,,,Method Information,,,,Results Information,,,,,,,,
Disorder,Authors,Year,Month,DOI,Title,Journal,Data,Analyzed Data,Amount of Data,Design,Analysis,# Patients,Patient Ages,# Control,Control Ages,Fit Method,Fit Range,Report Settings,Report GOF,Clinical EXP,Control EXP,Reported Finding for Aperiodic Exponent,Report Effects Size,Effect Size Measure,Effects Size,Biomarker,Interpretation,Notes
ADHD,Chen et al,2024,5,10.1016/j.jpsychires.2024.03.042,Aperiodic components and aperiodic-adjusted alpha-band oscillations in children with ADHD,Journal of Psychiatric Research,EEG,resting,6m,between,diagnostic,62,9.16 +/- 1.55,52,9.29 +/- 1.39,specparam,unclear,no,no,unclear,unclear,⬇︎ clinical vs. control ,yes,eta-squared,0.035,yes,unstated,Also looks at aperiodic-corrected alpha measures. Fit range seems to be 1-30 Hz
ADHD,"Dakwar-Kawar, Mentch-Lifshits et al",2024,6,10.1093/cercor/bhae236,Aperiodic and periodic components of oscillatory brain activity in relation to cognition and symptoms in pediatric ADHD,Cerebral Cortex,EEG,resting,5m,between,diagnostic,33,9.61 +/- 1.73,33,9.42 +/- 1.6,specparam,1-40,no,no,unclear,unclear,⬆︎ clinical vs. control,no,-,-,yes,E/I ratio,"Main analyses are based on relating EEG differences to differences in processing speed. Report that the aperiodic exponent is negatively correlated with processing speed. Also set up analyses / compare results based on the theta beta ratio. In the figure, example PSDs + models look fine, but reported exponent values are odd (~0.25 - 0.25)."
ADHD,Peisch & Arnett,2024,2,10.1017/S095457942200116X,"Neural activation, cognitive control, and attention deficit hyperactivity disorder: Evaluating three competing etiological models",Development & Psychopathology,EEG,resting,3m,between,diagnostic,75,9.96 +/- 1.35,29,9.46 +/- 1.34,specparam,1-50,yes,no,unclear,unclear,⬇︎ clinical vs. control,no,-,-,no,oscillations,"The main analysis approach is fitting and comparing different models building in multiple features in relation to diagnostic group. As such, unclear how individual parameters relate to diagnoses. Also report that cognitive control modulates relationship between exponents and ADHD symptoms. Flips between term “exponent” and “slope”. "
ADHD,Peisch et al,2024,2,10.1177/10870547231214983,Longitudinal Stability of Neural Correlates of Pediatric Attention Deficit Hyperactivity Disorder: A Pilot Study of Event Related Potentials and Electroencephalography,Journal of Attention Disorders,EEG,resting,3m,between,diagnostic,37,9.51 +/- 1.42,15,9.22 +/- 1.24,specparam,1-50,no,no,unclear,unclear,⬆︎ clinical vs. control,no,-,-,yes,oscillations,"This study is largely about ERPs. Main measures of interest - stability and changes of repeated measures 11-36 months apart. Difference in exponent is at one specific time point. Also reports “less stability” of the exponent in clinical group, in that it was more different between timepoints in the clinical group. Erroneously relates exponent to patterns of oscillatory power. "
ADHD,Snipes et al,2024,2,10.1101/2024.02.24.581878,Wake EEG oscillation dynamics reflect both sleep need and brain maturation across childhood and adolescence,preprint,EEG,task,unclear,between,diagnostic,58,12.1 +/- 2.0,105,13.8 +/- 5.8,specparam,2-35,no,no,unclear,unclear,∅ clinical vs. control,no,-,-,no,E/I ratio,"This paper is more broadly about pre and post night-sleep recordings, and the differences in the between them, but includes a comparison with a clinical group. Also includes analysis of a set of time domain measures. Analyzed data is a combination of different datasets and reflects a mixture of resting and task data."
ADHD,Arnett et al,2024,11,10.1016/j.clinph.2024.11.001,"EEG aperiodic dynamics from early through late childhood: Associations with ADHD, cognition, and development",Clinical Neurophysiology,EEG,resting,3m,between,diagnostic,178,[2-14],107,[2-14],specparam,1-50,yes,no,unclear,unclear,⬇︎ clinical vs. control ,yes,eta-squared,0.02,no,E/I ratio,"Project analyses data from across three studies, each of different age groups (early childhood, 30-59 months; middle childhood, 7-12 years old; and middle-late childhood 8-14). Information in table represents across all groups / participants. Somewhat unclear how much data was analyzed, though appears to be 3 minutes collected per EO / EC condition across the whole dataset. Approximate exponent values visible in figures (~1.4). Also do a ‘dynamic aperiodic exponent’ analysis, examining the change of the exponent between lights on (video) and lights off resting state sessions - there was no effect of diagnosis in this analysis."
ADHD,Vojnits et al,2024,2,10.1016/j.ridd.2024.104693,Mobile sleep EEG suggests delayed brain maturation in adolescents with ADHD: A focus on oscillatory spindle frequency,Research in Developmental Disabilities,EEG,sleep,30m,between,diagnostic,19,16.30 [14-19],29,16.49 [14-19],Bódizs,2-48,-,-,unclear,unclear,∅ clinical vs. control,yes,Cohen’s d,-0.115,no,unstated,"How much data was analyzed is a little unclear: reported a minimum number of segments. Spectral slope measures are not precisely reported, but are plotted in a figure (average slope value ~-2.2)."
,,Autism Spectrum Disorders,,,,,,,,,,,,,,,,,,,,,,,,,,
Autism,"Li, Weiland et al",2022,11,10.1038/s41598-022-22597-z,Intellectually able adults with autism spectrum disorder show typical resting-state EEG activity,Scientific Reports,EEG,resting,5m,between,diagnostic,95,43.65 +/- 8.99,91,32.34 +/- 12.25,specparam,unclear,no,no,unclear,unclear,∅ clinical vs. control,no,-,-,yes,unstated,"Approach includes prediction models - compute lots of features and fit them into models. Show features of interest are correlated with age, and point out this confounds the clinical diagnosis. Fit range is maybe 1.25 - 48."
Autism,Manyukhina et al,2022,5,10.1186/s13229-022-00498-2,Globally elevated excitation–inhibition ratio in children with autism spectrum disorder and below-average intelligence,Molecular Autism,MEG,resting,2m,between,diagnostic,49,10.29 +/- 2.95,49,10.81 +/- 2.37,regression,35-45,-,-,unclear,unclear,⬇︎ clinical vs. control,yes,eta-squared,0.15,yes,E/I ratio,"Examining ASD participants, split by IQ. The lower exponent in the clinical group is specific to the low IQ patients group. High IQ ASD group have significantly steeper exponents than the low IQ group. In ASD group, see a negative correlation between exponent and IQ. Also compare exponent during EC and EO resting state. Analysis is source projected MEG - do an analysis comparing the differences between source projection approaches (pattern is the same, but values are a bit different)."
Autism,Shuffrey et al,2022,5,10.1002/dev.22271,Aperiodic electrophysiological activity in preterm infants is linked to subsequent autism risk,Developmental Psychobiology,EEG,sleep,10m,within,at risk,71,40.0 +/- 0.42,-,-,specparam,1-20,no,no,-,-,⬆︎ ~subsequent autism scores,no,-,-,yes,E/I ratio,"Study is an at-risk design: recruiting preterm infants, recording EEG, and then comparing to subsequent evaluations / diagnoses done later (around age 3). Use multiple fit ranges - also examine ‘high range’ of 21-40 Hz. Fit these multiple ranges based on visually observing a knee in the data. No significant correlations with high range exponent."
Autism,Dede et al,2023,5,10.1101/2023.05.21.23290300,"Lack of univariate, clinically-relevant biomarkers of autism in resting state EEG: a study of 776 participants",preprint,EEG,resting,2m,between,diagnostic,421,[0.25-20.6],338,[0.25-20.6],regression,2-24,-,-,unclear,unclear,∅ clinical vs. control,yes,eta-squared,-,yes,unstated,"Study is based on combining 5 different datasets, and then computing many different features and comparing between ASD and control. Details are reported per dataset (is more information on ages - but not a summary of ages of all ASD vs all control). Estimation of aperiodic exponent skips frequencies between 7-14 (alpha exclusion). Amount of time - 2 minutes appears to be the minimum, but is a range of listed values per dataset. Clinical group includes two subsets of patients: listed as ASD (milder) or AD (more severe). Analyses are also done separated by age groups.  Project reports effect sizes - but not specifically per measure."
Autism,Ellis et al,2023,6,10.1101/2023.06.19.23291507,The dynamically neurodiverse human brain: Measuring excitatory-inhibitory dynamics and identifying homeostatic differences in autistic and non-autistic people,preprint,EEG,resting,6m,between,diagnostic,15,37.27 (STE: 2.58),25,29 (STE: 1.6),specparam,3-28,yes,no,1.028 +/- 0.418,1.131 +/- 0.237,∅ clinical vs. control,yes,eta-squared,0.000,no,E/I ratio,"Also includes investigation of pharmacological manipulation (arbaclofen - GABA receptor agonist) - report that the administration of this drug, which leads to an increase of inhibition, leads to a steeper exponent, as hypothesized. Each participant does 3 visits: low dose, high dose, placebo. Is an age difference between clinical and control groups. Do report a difference / interaction between pharmacological response and diagnosis status. Seems to be a high rate of drop-out: ultimately report that 25 (out of 40 original) participants analyzed in the full 3 visit part (have more in other analyses). The paper concludes that no examined measures work as a biomarker. "
Autism,Martinez & Chen,2023,4,10.3389/fpsyt.2023.1115374,Identification of atypical sleep microarchitecture biomarkers in children with autism spectrum disorder,Frontiers in Psychiatry,EEG,sleep,unclear,between,diagnostic,149,11.7 [7.9-14.7],197,10.4 [7.2-12.8],specparam,unclear,no,no,2.0 +/- 0.34,2.2 +/- 0.26,⬇︎ clinical vs. control,no,-,-,yes,E/I ratio,Looking into sleep comorbidities in ASD. Are multiple datasets - is an additional control group. Main data is from the Nationwide Children’s Health Sleep DataBank. Analyses are prediction models / classifiers based on classifying diagnosis. Report significant prediction of clinical label including aperiodic parameters. 
Autism,Webb et al,2023,1,10.1176/appi.ajp.21050485,The Autism Biomarkers Consortium for Clinical Trials: Initial Evaluation of a Battery of Candidate EEG Biomarkers,American Journal of Psychiatry,EEG,video,3m,between,diagnostic,280,8.6 +/- 1.6,119,8.5 +/-1.6,regression,2-50,-,-,1.279 +/- 0.144,1.317 +/- 0.139,∅ clinical vs. control,yes,eta-squared,0.004,yes,E/I ratio,"This is a large study of multiple different putative biomarkers, with many different analyses. Also includes multiple time points, and compare measure between time points. For exponent, the group difference is significant in the standalone model but appears to be quite small (magnitude: ~0.04). This difference is not significant when including covariates."
Autism,Arutianian et al,2024,4,10.1007/s00429-024-02802-7,Abnormalities in both stimulus-induced and baseline MEG alpha oscillations in the auditory cortex of children with Autism Spectrum Disorder,Brain Structure and Function,MEG,baseline,1s 300ms,between,diagnostic,20,10.03 +/- 1.7,20,9.11 +/- 1.3,specparam,1-35,yes,no,unclear,unclear,⬇︎ clinical vs. control,no,-,-,no,E/I ratio,Report largely examines alpha activity. Uses an auditory task.
Autism,Carter Leno et al,2024,2,10.21203/rs.3.rs-3879380/v1,Cortical markers of excitation/inhibition balance are associated with sensory responsivity from infancy in longitudinal cohorts enriched for autism and ADHD,preprint,EEG,video,1m,between,at risk,76,5.35 +/- 0.66,26,5.39 +/- 0.50,specparam,1-20,yes,yes,unclear,unclear,⬆︎ ~hyper-responsivity symptoms,no,-,-,no,E/I ratio,"Longitudinal analysis - collects data at 5, 10, 14 month timepoints for infants with family history - comparing typical history, ASD history, and ADHD history (n=29). A different set of results for ADHD family history group."
Autism,Chung et al,2024,1,10.21203/rs.3.rs-3871138/v1,Evaluating early EEG correlates of restricted and repetitive behaviors for toddlers with or without autism,preprint,EEG,video,2m,between,"diagnostic symtoms",25,1.07 +/- 0.06,80,1.09 +/- 0.06,specparam,2.5-50,yes,yes,1.10 +/- 0.12,1.10 +/- 0.10,"∅ future diagnosed vs. not ⬇︎ ~future repetitive behaviors",no,-,-,no,E/I ratio,"Is a longitudinal / at risk study. Are three groups - infants who develop ASD, elevated likelihood infants without ASD, and low likelihood infants without ASD. Infants were longitudinally followed to assess ASD outcomes. EEG measures are at ~12 months, and symptoms / diagnoses come from later. Report is focused on looking into restricted and repetitive behaviors. 160 infants initially recruited - based on later results analyzed as no ASD (n=80), sibling no ASD (n=34), screener no ASD (n=21), and ASD (n=25)."
Autism,McCleod et al,2024,5,10.48550/ARXIV.2405.04248,Neurocomputational Phenotypes in Female and Male Autistic Individuals,preprint,EEG,resting,5m,between,diagnostic,19,20.7 +/- 1.9,23,21 +/- 1.8,irasa,unclear,no,-,1.597 +/- 0.482,1.379 +/- 0.323,⬆︎ clinical vs. control,yes,cohen’s-d,0.543,no,unstated,Also do comparison across different electrodes and gender - variable results. Report an interaction with gender.
Autism,Cazares et al,2024,9,10.1101/2024.09.27.24314448,Cannabidiol treatment is associated with broadband spectral electrophysiological changes and improved cognition in boys with low-functioning autism spectrum disorder,preprint,EEG,video,5m,within,treatment,24,7-14,-,-,specparam,0.5-13,yes,yes,unclear,-,⬇︎ on vs. off medication [cannabidiol],no,-,-,yes,E/I ratio,Also report an association between metabolite levels and cognitive tests. 
Autism,Makale et al,2024,8,10.3390/jpm14080857,Pilot Study of Personalized Transcranial Magnetic Stimulation with Spectral Electroencephalogram Analyses for Assessing and Treating Persons with Autism,Journal of Personalized Medicine,EEG,resting,4m,within,treatment,123,0-61,-,-,regression,2-20,-,-,unclear,unclear,⬇︎ w stimulation (rTMS),no,-,-,yes,E/I ratio,"Methods reporting is lacking in terms of being clear about the amount of data, processing, and analyses. Are two different clinical measures (used in different clinics), and results seem to vary across them - the reported result is specific to the results for the ASQ test. Looks to be some unexplained differences in the PSDs between the different timepoints. "
Autism,An et al,2024,6,10.1101/2024.05.31.24308275,Prediction of chronological age from resting-state EEG power in the first three years of life,preprint,EEG,video,unclear,between,diagnostic,85,1.31 +/- 0.8,467,[0.16-3.16],specparam,2-45,yes,no,unclear,unclear,⬇︎ clinical vs. control ,no,-,-,no,unstated,"Main topic of the paper is examining EEG data across age, and predicting age from EEG features. Do some analyses applying their prediction models to clinical cases (those later diagnosed). Reported numbers of ‘Control’ group is full dataset (I think) including those diagnosed which are later separately analyzed. Parameterized frequency range is a little unclear - range listed based on figures but not explicitly stated. Is also an analysis to Down syndrome (n=21), with similar findings in terms of age predictions, but no significant group difference directly comparing the exponentt. "
,,Alzheimer’s Disease,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer’s,Vyšata et al,2014,7,10.1177/1550059413491558,Change in the Characteristics of EEG Color Noise in Alzheimer’s Disease,Clinical EEG and Neuroscience,EEG,resting,1m,between,diagnostic,120,71.5 +/- 6.8,120,69.1 +/- 5.7,regression,0.5-60,-,-,1.48 +/-0.28,1.99 +/- 0.24,⬇︎ clinical vs. control,no,-,-,yes,criticality,"Abstract reports 110 participants per group, but methods reports 120 - unclear why there is a difference. Values reported per electrode - example values in this table are from Fz."
Alzheimer’s,Springer et al,2022,7,10.1093/braincomms/fcac198,Altered visual entrainment in patients with Alzheimer’s disease: magnetoencephalography evidence,Brain Communications,MEG,baseline,600ms,between,diagnostic,38,69.21 +/- 6.91,20,72.70 +/- 4.73,specparam,4-50,yes,yes,unclear,unclear,∅ clinical vs. control,no,-,-,no,unstated,"Main topic of the paper is visual entrainment. For aperiodic, compare baseline activity from during the entrainment task. It’s not entirely clear what is measured and compared to as reflecting the aperiodic activity - might be the isolated spectrum (?)."
Alzheimer’s,Azami et al,2023,8,10.1186/s13195-023-01280-z,Beta to theta power ratio in EEG periodic components as a potential biomarker in mild cognitive impairment and Alzheimer’s dementia,Alzheimer’s Research & Therapy,EEG,resting,10m,between,diagnostic,41,75.7 +/- 6.5,44,69.1 +/- 5.3,specparam,1-45,yes,no,unclear,unclear,∅ clinical vs. control,no,-,-,no,E/I ratio,Also includes a group of MCI participants (n=114; age=72.2 +/- 7.5). No differences in aperiodic components to this group either.
Alzheimer’s,Martínez‐Cañada et al,2023,7,10.1002/dad2.12477,Combining aperiodic 1/f slopes and brain simulation: An EEG/MEG proxy marker of excitation/inhibition imbalance in Alzheimer's disease,"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring","EEG MEG",resting,"5m 3m",between,diagnostic,"26 50","[58-90] [>75]","114 51","[40-90] [>75]",specparam,1-40,yes,no,unclear,unclear,"∅ AD vs. control [EEG] ⬇︎ MCI vs. control [MEG]",yes,cohen’s-d,"0.01 0.18",yes,E/I ratio,"Includes multiple different datasets, across EEG & MEG data, and also including MCI. Also includes simulations relating exponent to E/I. Age reporting of the different groups is not very clear. "
Alzheimer’s,Van Nifterick et al,2023,5,10.1038/s41598-023-33973-8,Resting-state oscillations reveal disturbed excitation–inhibition ratio in Alzheimer’s disease patients,Scientific Reports,MEG,resting,5m,between,"diagnostic symptoms",51,64 +/- 7.6,45,57 +/- 8.4,specparam,30-48,yes,yes,unclear,unclear,"⬇︎ clinical vs. control [AD] ⬇︎ ~worse cognitive scores",no,-,-,no,E/I ratio,"Includes different clinical groups: healthy young control (n=20), healthy elderly control (n=45), subjective cognitive decline (n=17), MCI (n=18) and AD (n=51). The difference in aperiodic exponent is specific the the AD vs. elderly control, and specific to the parieto-occipital region (not seen in the hippocampal region)."
Alzheimer’s,Burelo et al,2024,9,10.1016/j.jneumeth.2024.110195,Advanced qEEG analyses discriminate between dementia subtypes,Journal of Neuroscience Methods,EEG,resting,2m,between,diagnostic,64,77.24 +/- 7.46,21,75.67 +/- 5.36,specparam,1-45,yes,yes,unclear,unclear,Δ in different diagnoses,no,-,-,no,slowing,"Multiple different clinical groups: dementia with Lewy bodies (n=22); Parkinsons (n=13); AD (n=29). Also includes comparisons of auto-regressive vs FFT spectra. Report differences in exponent between clinical and control, but unspecified directions. Is also a significant prediction between clinical diagnoses using aperiodic parameters."
Alzheimer’s,Kopčanová et al,2024,1,10.1016/j.nbd.2023.106380,Resting-state EEG signatures of Alzheimer's disease are driven by periodic but not aperiodic changes,Neurobiology of Disease,EEG,resting,5m,between,diagnostic,47,[52-86],42,[50-77],specparam,3-40,yes,yes,unclear,unclear,∅ clinical vs. control,yes,eta-squared,0.018,yes,slowing,Two different datasets included.
Alzheimer’s,"Wang, Liu, Yu et al",2024,2,10.1007/s11357-023-01041-8,The effect of aperiodic components in distinguishing Alzheimer’s disease from frontotemporal dementia,GeroScience,EEG,resting,12m,between,diagnostic,36,66.4 +/- 7.9,29,67.9 +/- 5.4,specparam,2-40,yes,yes,1.31 (CI: 1.17-1.46),1.12 (CI: 1.02-1.23),⬆︎ clinical vs. control,no,-,-,yes,E/I ratio,"Reported analysis here is with an Alzheimers clinical group - also analyses and compares with a fronto—temporal dementia (FTD; n=23, ages 63.7 +/- 8.2) group. Also report an increased exponent in AD vs FTD (comparing clinical groups), but no difference between FTD and control. Reports regional differences. "
Alzheimer’s,"Wiesman, Gallego-Rudolf et al",2024,9,10.1002/alz.14110,Neurochemical organization of cortical proteinopathy and neurophysiology along the Alzheimer's disease continuum,Alzheimer's & Dementia,MEG,resting,8m,between,diagnostic,38,70 [55-84],20,72 [60-84],specparam,2-30,yes,no,unclear,unclear,⬆︎ clinical vs. control [regionally],no,-,-,no,unstated,"Study is about neurochemical organization within Alzheimer’s, and includes measures of MEG derived periodic and aperiodic features which are compared to neuro-chemical gradients, but is not primarily about aperiodic activity. Clinical group has two sub-groups - amnestic MCI (n=18) & AD (n=20). There is also a secondary dataset used as confirmation with low / high amyloid. Table reports on analysis of the 1st dataset - paper contains additional analyses of the amyloid related dataset. Used different frequency ranges for different groups: 2-30 Hz is for the clinical group, with 1-40 Hz used for the control group. The differences between clinical and control are specific to prefrontal and parieto-occipital regions. The increased exponent in clinical groups is reported to include both MCI and AD patients (as compared to control). The exponent differences are not aligned with neuro-chemical systems. This report switches between ‘aperiodic’ and ‘arrhythmic’ as related terminology."
Alzheimer’s,Dunstan et al,2024,12,10.1101/2024.12.16.628666,Longitudinal assessment of the conversion of mild cognitive impairment into Alzheimer’s dementia: Observations and mechanisms from neuropsychological testing and electrophysiology,preprint,EEG,resting,17m,between,diagnostic,10,72 +/- 4.6,11,70 +/- 5.5,specparam,unclear,no,no,unclear,unclear,∅ clinical vs. control,no,-,-,no,unstated,"Study is mainly not about aperiodic activity. Fit range is probably 2-30 as this is listed as the examined range of the power spectrum, but this is not clearly stated in relation to the spectral parameterization. Some of the results /information related to the analyses seem like they are in supplemental figures which were not included in the currently available version of the preprint. Exact tests between groups are not clear. Is also an MCI group, and analyses related to conversion of MCI -> AD. "
Alzheimer’s,Pace et al,2024,11,10.1093/ageing/afae243,Modifiable dementia risk associated with smaller white matter volume and altered 1/f aperiodic brain activity: cross-sectional insights from the LEISURE study,Age and Ageing,EEG,resting,4m,between,at risk,98,65.44 +/- 8.44,-,-,specparam,1-30,yes,no,unclear,unclear,⬇︎ ~dementia risk,no,-,-,yes,E/I ratio,Measures of aperiodic exponent is specifically from frontal electrodes. Analysis is not significant for temporal electrodes.
Alzheimer’s,Mostile et al,2024,10,10.1038/s41598-024-74035-x,Differentiating neurodegenerative diseases based on EEG complexity,Scientific Reports,EEG,resting,2m,between,diagnostic,230,68.9 +/- 9.1,37,68.8 +/- 6.2,regression,unclear,-,-,2.51 +/- 0.34,2.77 +/- 0.47,Δ in different diagnoses,no,-,-,yes,self-similarity,"Main goal of the report is to differentiate between different diagnoses using the aperiodic exponent. Included patient groups: Alzheimer’s Dementia (AD - n=24); Mild Cognitive Impairment (MCI - n=21); Progressive Supranuclear Palsy (PSP - 15); Corticobasal Degeneration (CBD - 27); Parkinson’s Disease (PD - 109 across groups of with dementia, with MCI or without MCI); Multiple System Atrophy (MSA - 34). Demographic details and exponent results are reported for each diagnosis separately. In the table, clinical group is age is reported for the AD group, and exponent results are reported for F3 for AD & Control. Report that PSP and CBD have lower exponents than controls, and that AD has lower exponent than control in frontal-temporal regions. "
,,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,Veerakumar et al,2019,9,10.1152/jn.00875.2018,Field potential 1/f activity in the subcallosal cingulate region as a candidate signal for monitoring deep brain stimulation for treatment-resistant depression,Journal of Neurophysiology,DBS,resting,7m 30s,within,treatment,4,[53-66],-,-,regression,2-48,-,-,-,-,⬆︎ w stimulation [DBS],no,-,-,yes,E/I ratio,Response was specifically in the right side.
Depression,Sonkusare et al,2022,2,10.1038/s41398-022-01830-3,Power signatures of habenular neuronal signals in patients with bipolar or unipolar depressive disorders correlate with their disease severity,Translational Psychiatry,DBS,resting,3m,within,symptoms,6,[21-48],-,-,specparam,1-36,yes,yes,-,-,⬆︎ ~severity scores,no,-,-,yes,E/I ratio,Exponent values are a little unclear - appear to range from -1 to 1.5 in the rest data. Also analyze task data. 
Depression,"Rosenblum, Bovy et al",2023,10,10.1016/j.bpsgos.2022.10.001,Increased Aperiodic Neural Activity During Sleep in Major Depressive Disorder,Biological Psychiatry,EEG,sleep,6h 24m,"between within","diagnostic treatment",38,31.3 +/-1 10.2,38,31.6 +/- 10.4,irasa,0.2-48,no,-,-,-,"⬇︎ clinical vs. control  ⬇︎ on vs. off medication",yes,cohen’s-d,0.62,yes,E/I ratio,Report exponent values & effect sizes across comparisons in a table.
